Date,Open,High,Low,Close,Volume
2002-07-19,12.26,13.06,11.93,12.35,2102500
2002-07-22,12.21,13.139,12.06,12.9,212200
2002-07-23,13.3,13.85,12.66,13.099,184180
2002-07-24,13.0313,13.169,12.6,12.9,430400
2002-07-25,12.9,12.9,12.61,12.77,66700
2002-07-26,12.66,12.76,11.91,12.0,653550
2002-07-29,12.25,12.25,11.66,12.0,335340
2002-07-30,12.17,12.17,11.95,12.06,139950
2002-07-31,12.05,12.25,12.0,12.0,122075
2002-08-01,12.06,12.25,11.85,11.86,150800
2002-08-02,11.75,11.949,11.65,11.93,61800
2002-08-05,11.99,11.99,11.65,11.7,118600
2002-08-06,11.75,12.1,11.75,12.0,145000
2002-08-07,12.0,12.0,11.82,12.0,150100
2002-08-08,12.029,12.099,11.9,12.05,45600
2002-08-09,12.05,12.05,11.9,11.999,24600
2002-08-12,11.999,12.03,11.92,11.979,27200
2002-08-13,11.851,12.05,11.85,11.999,67400
2002-08-14,11.92,12.0,11.9,11.987,38300
2002-08-15,11.91,12.01,11.902,12.0,36450
2002-08-16,12.05,12.05,11.9,12.039,6700
2002-08-19,12.04,12.04,11.85,11.94,24100
2002-08-20,11.93,12.08,11.91,12.07,86100
2002-08-21,12.06,12.3,12.01,12.14,75600
2002-08-22,12.199,12.5,12.05,12.5,33600
2002-08-23,12.4,12.5,11.96,12.079,63800
2002-08-26,12.04,12.05,11.9,12.0,24900
2002-08-27,12.04,12.2,11.952,12.2,47900
2002-08-28,12.7,12.7,12.35,12.37,53700
2002-08-29,12.49,12.54,12.351,12.54,33300
2002-08-30,12.53,12.85,12.41,12.75,22400
2002-09-03,12.65,13.26,12.65,13.199,24457
2002-09-04,13.25,13.64,12.9,13.0,107039
2002-09-05,12.95,13.0,12.05,12.35,65800
2002-09-06,12.19,12.7,12.03,12.389,34600
2002-09-09,12.389,12.8,12.389,12.75,43900
2002-09-10,12.66,12.819,12.36,12.499,83200
2002-09-11,12.36,12.55,12.351,12.55,11800
2002-09-12,12.49,12.55,12.35,12.42,12400
2002-09-13,12.49,12.499,12.35,12.39,8200
2002-09-16,12.49,12.49,11.86,12.229,41900
2002-09-17,12.2,12.2,12.03,12.09,2200
2002-09-18,12.01,12.01,10.01,11.209,622000
2002-09-19,11.189,11.25,10.7,10.95,111500
2002-09-20,10.95,11.16,10.9,11.05,42200
2002-09-23,10.7,10.7,10.25,10.559,34200
2002-09-24,10.57,11.289,10.57,11.079,49500
2002-09-25,11.08,12.8,10.92,11.0,76600
2002-09-26,11.1,11.1,10.73,10.95,23570
2002-09-27,10.999,10.999,10.42,10.55,31160
2002-09-30,10.73,10.73,9.79,10.33,12800
2002-10-01,10.27,10.5,10.0,10.02,48300
2002-10-02,10.379,10.379,9.93,10.03,47400
2002-10-03,10.09,10.09,9.61,9.8,45300
2002-10-04,9.9,10.349,9.39,9.759,56700
2002-10-07,9.45,10.0,9.45,9.909,16200
2002-10-08,9.949,9.949,9.54,9.89,20000
2002-10-09,9.939,9.97,9.59,9.59,5800
2002-10-10,9.795,9.92,9.09,9.4,13000
2002-10-11,9.5,9.79,9.5,9.62,8000
2002-10-14,9.6,9.61,9.3,9.3,3300
2002-10-15,9.4399,10.61,9.4,10.1,68400
2002-10-16,9.92,9.95,9.78,9.85,3800
2002-10-17,9.98,10.09,9.86,9.86,19100
2002-10-18,9.8,9.8,9.42,9.42,5200
2002-10-21,9.6,9.77,9.55,9.77,1400
2002-10-22,9.79,10.37,9.79,10.37,260500
2002-10-23,10.37,10.4,10.1,10.235,101620
2002-10-24,10.5,11.6,10.5,11.5,25010
2002-10-25,11.45,11.851,11.41,11.611,13900
